PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Anniston Army Depot,Anniston Army Depot,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,10/20/1989,1,1,
Anniston Army Depot ,Anniston Army Depot ,7 Frankford Avenue,Anniston,FPS ,,,11/1/2002,9,1,
Anniston Army Depot ,Anniston Army Depot ,7 Frankford Avenue,Anniston,FPS ,,,12/1/2002,1,1,
Anniston Army Depot - Storage Warehouse ,Anniston Army Depot,7 Frankford Avenue,Anniston,Alabama Sprinkler,,,6/20/2002,1,1,
Anniston Army Depot - Storage Warehouse ,Anniston Army Depot,7 Frankford Avenue,Anniston,Alabama Sprinkler,,,6/20/2002,1,1,
Anniston Army Depot Building 106,Anniston Army Depot Building 106,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,1/11/1991,2,1,
Anniston Army Depot Building 128,Anniston Army Depot Building 128,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,1/1/1990,1,1,
Anniston Army Depot Building 128 & 130,Anniston Army Depot,7 Frankford Avenue,Anniston,Alabama Sprinkler,,,9/8/2000,2,1,
Anniston Army Depot Building 128 A,Anniston Army Depot,7 Frankford Avenue,Anniston,Alabama Sprinkler,,,7/9/1986,1,1,
Anniston Army Depot Building 128 C,Anniston Army Depot,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,11/1/1985,1,1,
Anniston Army Depot Building 129,Anniston Army Depot Building 129,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,9/4/1981,1,1,
Anniston Army Depot Building 362,Anniston Army Depot,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,11/3/1988,1,,
Anniston Army Depot Building 363,Anniston Army Depot,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,11/20/1989,2,,
Anniston Army Depot Building 5,Anniston Army Depot Building 5,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,9/4/1977,3,,
Anniston Army Depot Building 600,Anniston Army Depot,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,7/1/1991,1,,
Anniston Army Depot Firing Range,Anniston Army Depot Building 129,7 Frankford Avenue,Anniston,Crumpton Sprinkler,,,10/20/1989,1,1,
Anniston Museum of Natural History ,City of Anniston,800 Museum Dr ,Anniston,Crumpton Sprinkler,,,11/16/1984,8,1,
Cabinet Makers Supply,Cabinet Makers Supply,1522 ITC Way,Anniston,Alabama Sprinkler,,,11/17/2006,2,1,
Calhoun County Administration Building ,Calhoun County Administration Building ,1702 Noble Street,Anniston,Crumpton Sprinkler,,,1/19/1987,4,,
Calhoun County Chamber of Commerce,Calhoun County Chamber of Commerce,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,3/13/1990,1,1,
Calhoun County Courthouse,Calhoun County Courthouse,25 W 11th St  ,Anniston,Crumpton Sprinkler,,,9/4/1991,7,1,
Calhoun - Cleburne Mental Health,Calhoune - Cleburne Mental Health,331 E St,Anniston,Crumpton Sprinkler,,,8/14/1986,2,1,
Central Bank of Anniston ,Central Bank of Anniston ,Williamson Commerce Center 801 Noble Street,Anniston,Crumpton Sprinkler,,,1/17/1990,1,1,Now BBVA Compass
Custom Marksmaship Program ,Custom Marksmaship Program ,3917 Red Morris Pkwy ,Anniston,TFP ,TC1626,,12/23/2013,1,,
