PROJECT,PROJECT OWNER,ADDRESS,CITY,CONTRACTOR,CONTRACT NO.,INSPECTION NO.,DATE,# of Drwgs,Drawer,Comments 
Jimmie Hale Mission ,Jimmie Hale Mission ,3520 2nd Avenue N ,Birmingham,FPS ,,,1/1/2008,2,,
John Hand Bldg ,John Hand Bldg ,17 20th St N ,Birmingham,Central Fire Protection Inc ,,,6/6/1999,5,,
John Hand Bldg ,John Hand Bldg ,17 N 20th St,Birmingham,FPS ,,,5/1/2001,1,,
John Hand Bldg ,John Hand Bldg ,17 N 20th St,Birmingham,FPS ,,,12/1/2001,2,,
John Hand Bldg - Birmingham Athletic Club ,John Hand Bldg ,17 N 20th St,Birmingham,TFP ,TC1034,,11/8/1999,2,,
John Hand Parking Deck ,John Hand Parking Deck ,17 N 20th St,Birmingham,TFP ,TC1021,,8/24/1999,1,,
John Jebele's Suite,John Jebele's Suite,48 Medical Dr,Birmingham,Crumpton Sprinkler,,,9/9/1993,1,,He moved to 1809 Gadsden Hwy 
John Manufacturing Co,John Manufacturing Co,Jones Industrial Dr,Birmingham,Crumpton Sprinkler,,,8/27/1990,6,,
Johnson Domiciliary ,Johnson Domiciliary ,439 2nd St N,Birmingham,Crumpton Sprinkler,,,12/4/1990,1,,
Kenney Pipe & Supply Inc,Kenney Pipe & Supply Inc,2500 2nd Avenue S,Birmingham,Alabama Sprinkler,,,5/21/2001,1,,Now Fixtures & Finishes 
Kensworth Sales & Service Facility ,Kensworth Sales & Service Facility ,,Birmingham,FPS ,,,3/1/2003,7,,
King Furniture,King Furniture,1816 3rd Avenue N ,Birmingham,Crumpton Sprinkler,,,11/6/1991,1,,Empty BLDG
Knights of Columbus ,Knights of Columbus ,Lot 2D Wenonah Oxmoor Rd,Birmingham,FPS ,,,9/1/2007,1,,
L.B. Wallace Tumor Institute ,L.B. Wallace Tumor Institute ,1824 6th Avenue S,Birmingham,Alabama Sprinkler,,,4/16/2001,1,,
L.B. Wallace Tumor Institute ,L.B. Wallace Tumor Institute ,1824 6th Avenue S,Birmingham,Alabama Sprinkler,,,11/8/2005,1,,
Lake Villa,Lake Villa,7916 2nd Avenue S ,Birmingham,Crumpton Sprinkler,,,8/19/1996,3,,Now Lovelady Center 
Lake Villa,Lake Villa  ,7916 2nd Avenue S ,Birmingham,Crumpton Sprinkler,,,8/19/1996,2,,Now Lovelady Center 
Lake Villa,Lake Villa,7916 2nd Avenue S ,Birmingham,Crumpton Sprinkler,,,1/12/1996,1,,Now Lovelady Center 
Lake Villa Nursing Home,Lake Villa Nursing Home,7916 2nd Avenue S ,Birmingham,Crumpton Sprinkler,,,7/1/1992,2,,Now Lovelady Center 
Lake Villa Nursing Home,Lake Villa Nursing Home,7916 2nd Avenue S ,Birmingham,Crumpton Sprinkler,,,6/9/1992,1,,Now Lovelady Center 
"Lakeshore Crossings Bldg ""L""","Lakeshore Crossings Bldg ""L""",1030 London Dr ,Birmingham,FPS ,,,4/1/2003,1,,Now Canon 
Lakeview Self Storage ,Lakeview Self Storage ,612 32nd St S ,Birmingham,FPS ,,,9/1/2002,2,,
Law Offices,Law Offices,Morris Avenue ,Birmingham,Crumpton Sprinkler,,,12/11/1980,2,,
Lawson State College ,Lawson State College ,New Technical Building,Birmingham,Crumpton Sprinkler,,,3/30/1993,2,,
Legg Mason & The Concord Center ,Legg Mason & The Concord Center ,2100 3rd Ave N ,Birmingham,FPS ,,,1/1/2003,1,,
Liberty Mutual Insurance Offices,Liberty Mutual Insurance Offices,100 Corporate Pkwy Suite 225,Birmingham,Crumpton Sprinkler,,,9/12/1989,1,,
Liberty National Building,Liberty National Building,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,4/15/1992,6,,
Liberty National Building,Liberty National Building,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,7/26/1991,2,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,ASCOA,,,1/15/1963,3,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,8/24/1993,1,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,2/22/1990,4,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,1/3/1997,4,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,1/9/1992,3,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,4/19/1991,1,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,1/3/1997,2,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,2001 3rd Avenue S,Birmingham,Crumpton Sprinkler,,,4/10/1990,4,,
Liberty National Life Ins. Co. ,Liberty National Life Ins. Co. ,3760 River Run Dr,Birmingham,Crumpton Sprinkler,,,2/2/1992,3,,Now INFINITY 
M.C.E. - Social Services,M.C.E. - Social Services,,Birmingham,Crumpton Sprinkler,,,9/15/1992,2,,
Mac Papers,Mac Papers,200 Princeton Prkwy,Birmingham,Crumpton Sprinkler,,,12/28/1995,1,,
Maddox & Associates ,Maddox & Associates ,2550 Acton Rd ,Birmingham,FPS ,,,10/4/2005,1,,
Mama Fu's ,Mama Fu's ,585 Brookwood Village ,Homewood,TFP ,TC1168,,2/21/2005,1,,Now Five Guys 
Maple Grove Church of God ,Maple Grove Church of God ,601 Lawson Rd,Birmingham,TFP ,TC1388,,10/20/2008,1,,
Mass Mutual ,Mass Mutual ,2 20th St N #1500 ,Birmingham,FPS ,,,6/15/2004,1,,
Massey Building,Massey Building,2025 3rd Avenue N,Birmingham,Crumpton Sprinkler,,,6/18/1991,3,,
Massey Building,Massey Building,2025 3rd Avenue N,Birmingham,Crumpton Sprinkler,,,12/22/1988,1,,
Massey Building  ,Massey Building  ,2025 3rd Avenue N,Birmingham,Crumpton Sprinkler,,,1/14/1991,1,,
Massey Building - Elizabeth Shaw Space,Massey Building - Elizabeth Shaw Space,2025 3rd Avenue N,Birmingham,Crumpton Sprinkler,,,3/1/1991,1,,
Massey Building - The Pub ,Massey Building ,2025 3rd Avenue N,Birmingham,Crumpton Sprinkler,,,1/3/1991,1,,
Maxwell Air Force Base,Maxwell Air Force Base,Kelly St ,Montgomery ,Crumpton Sprinkler,,,3/13/1995,2,,
Mayco Industries L.L.C. ,Mayco Industries L.L.C. ,18 W Oxmoor Rd,Homewood,TFP ,TC1105,,7/21/2003,2,,
"Mayer Electric Company, Inc","Mayer Electric Company, Inc",3405 4th Avenue S,Birmingham,Crumpton Sprinkler,,,4/24/1987,1,,
"Mayer Electric Company, Inc","Mayer Electric Company, Inc",3405 4th Avenue S,Birmingham,Crumpton Sprinkler,,,6/29/1983,3,,
"Mayer Electric Company, Inc","Mayer Electric Company, Inc",3405 4th Avenue S,Birmingham,Crumpton Sprinkler,,,2/9/1984,2,,
Mazer Lumber Co,Mazer Lumber Co,10 S 41st St,Birmingham,Crumpton Sprinkler,,,4/30/1991,1,,
Mazer Lumber Co,Mazer Lumber Co,10 S 41st St,Birmingham,Crumpton Sprinkler,,,5/16/1986,9,,
Mazer Lumber Co,Mazer Lumber Co,10 S 41st St,Birmingham,Crumpton Sprinkler,,,2/8/1993,2,,
Mazer Lumber Co,Mazer Lumber Co,10 S 41st St,Birmingham,Crumpton Sprinkler,,,6/17/1993,7,,
Mazer Lumber Co,Mazer Lumber Co,2018 Morris Avenue,Birmingham,Crumpton Sprinkler,,,4/9/1995,2,,Now Arendall & Associates 
Mazer Lumber Co,Mazer Lumber Co,10 S 41st St,Birmingham,Crumpton Sprinkler,,,4/30/1990,1,,
McWane Cast Iron Pipe Inc ,McWane Inc ,1143 Vanderbilt Rd ,Birmingham,FPS ,,,9/1/2004,2,,
Meadows Shoe Store,Meadows Shoe Store,1917 4th Avenue N,Birmingham,Crumpton Sprinkler,,,12/20/1979,1,,Now a parking lot 
Medical Center East  ,Medical Center East  ,52 Medical Park Dr E Suite 401,Birmingham,FPS ,,,12/1/2004,1,,
Medical Center East MOB II ,Medical Center East MOB II ,50 Medical Prk Dr ,Birmingham,FPS ,,,3/1/2005,21,,
Medical Forum,Medical Forum,950 22nd St N ,Birmingham,Crumpton Sprinkler,,,11/17/1995,1,,
Medical Forum Bldg - Cox Radio ,Medical Forum Bldg ,950 22nd St N ,Birmingham,TFP ,TC1063,,5/18/2001,2,,
Medical Forum Bldg - Cox Radio ,Medical Forum Bldg ,950 22nd St N ,Birmingham,TFP ,TC1063,,5/18/2001,1,,
Medical Forum Bldg - Tenant #2 at 9th Fl ,Medical Forum Bldg,950 22nd St N ,Birmingham,FPS ,,,8/1/2001,1,,
Medical Towers,Medical Towers,1717 11th Avenue S,Birmingham,Alabama Sprinkler,,,7/14/2003,11,,
Mega Market,Mega Market,,Birmingham,Crumpton Sprinkler,,,3/1/1982,1,,
Mental Health Group Home ,Mental Health Group Home ,7715 4th Ave S ,Birmingham,TFP ,TC1285,,8/13/2007,1,,
Metropolition Deluxe ,Metropolition Deluxe ,225 Summit Blvd,Birmingham,Alabama Sprinkler,,,9/16/1997,1,,Now Gus Mayer 
Mewborne Design ,Mewborne Design ,,Birmingham,FPS ,,,10/1/2000,1,,
Mid South Design,Mid South Design,1617 3rd Avenue S,Birmingham,Alabama Sprinkler,,,4/5/1999,1,,
Miles College - New Student Dormitory ,Miles College,5500 Myron Massey Blvd ,Fairfield,FPS ,,,5/1/2004,13,,
Mims Produce,Mims Produce,,Birmingham,Crumpton Sprinkler,,,11/20/1987,1,,
Montclair BMC ,Montclair BMC ,800 Montclair Rd,Birmingham,FPS ,,,11/6/2000,2,,
Montclair BMC ,Montclair BMC ,800 Montclair Rd,Birmingham,FPS ,,,11/20/2000,2,,
Mortimer Jordan ,Mortimer Jordan ,1530 3rd Avenue S,Birmingham,Alabama Sprinkler,,,5/2/2002,1,,
Motion Industries ,Motion Industries ,Airport Hwy,Birmingham,Crumpton Sprinkler,,,7/13/1983,1,,
Mountain View Nursing Home & Rehab Center ,Mountain View Nursing Home & Rehab Center ,,Birmingham,TFP ,TC1452,,8/16/2010,5,,
Mr. King Furniture ,Mr. King Furniture ,1816 3rd Avenue N ,Birmingham,Crumpton Sprinkler,,,1/9/1995,1,,Empty BLDG 
"Nabors, Morrow & Sinnige Bldg","Nabors, Morrow & Sinnige Bldg",109 N 20th St,Birmingham,Crumpton Sprinkler,,,11/30/1985,6,,Now the Brown Marx BLDG 
Nautilus Restaurant & Lounge,Nautilus Restaurant & Lounge,2126 Morris Avenue ,Birmingham,Crumpton Sprinkler,,,4/20/1976,3,,"Now McNamme & Liddon, Samuel R. McCord Attorney pf Law "
New Hope Baptist Church,New Hope Baptist Church,1740 Cleburn Ave ,Birmingham,FPS ,,,8/1/2002,1,,
New South Federal Bank,New South Federal Bank,2110 1st Avenue N,Birmingham,Crumpton Sprinkler,,,7/9/1988,1,,
New York Life Insurance ,New York Life Insurance ,2311 Highland Ave  Suite 100 ,Birmingham,FPS ,,,12/1/2001,1,,
Northeast Elementary School ,Northeast Elementary School ,8131 4th Ave S,Birmingham,TFP ,TC1164,,6/29/2006,7,,Now Ossie Ware Mitchell Middle School 
Northwest Financial,Northwest Financial,1687 Center Point Prkwy,Birmingham,Crumpton Sprinkler,,,5/15/1992,1,,Now either 1st Franklin Financial or Dollar General 
Nucor Steel ,Nucor Steel ,2301 F. L. Shuttleworth Dr ,Birmingham,TFP ,TC1107,TI-1299,5/14/2003,1,,
Nucor Steel Plant ,Nucor Steel Plant ,2301 F. L. Shuttleworth Dr ,Birmingham,TFP ,TC1340,,2/3/2008,1,,
Ogletree Deakins Nash Smoak & Stewart ,Ogletree Deakins Nash Smoak & Stewart ,1819 5th Ave N ,Birmingham,FPS ,,,9/1/2002,1,,
OB / GYN Recovery Suite,OB / GYN Recovery Suite,625 19th St S,Birmingham,Alabama Sprinkler,,,8/8/2004,1,,
Office,Office,3500 Colonade Pkwy ,Birmingham,Fincher Fire Protection,,,11/1/1998,5,,
Office Bldg Lot K ,Office Bldg Lot K ,,Birmingham,FPS ,,,1/1/2005,3,,
Ogletree Deakins Nash Smoak & Stewart ,Ogletree Deakins Nash Smoak & Stewart ,1819 5th Ave N ,Birmingham,FPS ,,,6/19/2006,1,,
Ogletree Deakins Nash Smoak & Stewart ,Ogletree Deakins Nash Smoak & Stewart ,1819 5th Ave N ,Birmingham,FPS ,,,5/1/2003,1,,
Oneal Steel - Annex Bldg,Oneal Steel - Annex Bldg,744 N 41st St,Birmingham,Crumpton Sprinkler,,,3/6/1990,2,,
Oneal Steel - Annex Bldg,Oneal Steel - Annex Bldg,744 N 41st St,Birmingham,Crumpton Sprinkler,,,7/3/1989,1,,
Package Distribution Center ,Package Distribution Center ,,Birmingham,FedEx,,,12/22/2006,1,,
Parathenon,Parathenon,2210 First Avenue N,Birmingham,Alabama Sprinkler,,,2/24/2004,1,,
Parker High School,Parker High School,2316 7th Avenue N,Birmingham,Alabama Sprinkler,,,7/11/2005,1,,Now John Herbet Phillips Academy 
Parker High School,Parker High School,2316 7th Avenue N,Birmingham,Alabama Sprinkler,,,7/11/2005,1,,Now John Herbet Phillips Academy 
Paw Paw Patch,Paw Paw Patch,Amsouth Harbert Plaza,Birmingham,Crumpton Sprinkler,,,11/8/1989,1,,
Pharmacy - Basement N Wing,Pharmacy - Basement N Wing,619 S 19th St,Birmingham,Alabama Sprinkler,,,10/22/1999,1,,
Phoenix Building Renovation ,Phoenix Building Renovation ,1710 2nd Ave N ,Birmingham,TFP ,TC1130,TI-1247,10/29/2001,5,,
Piggly Wiggly,Piggly Wiggly,601 Republic Circle,Birmingham,Crumpton Sprinkler,,,1/17/1977,3,,
Piggly Wiggly,Piggly Wiggly,2500 13th St W,Birmingham,Crumpton Sprinkler,,,10/1/1976,1,,Now family dollar 
Piggly Wiggly,Piggly Wiggly,,Birmingham,Crumpton Sprinkler,,,10/27/1990,2,,
Piggly Wiggly,Piggly Wiggly,Roberts Industrial Park,Birmingham,Crumpton Sprinkler,,,8/15/1977,2,,
Piggly Wiggly ,Piggly Wiggly ,1697 Tuscaloosa Avenue ,Birmingham,Alabama Sprinkler,,,7/15/2003,2,,
Pioneer Cafetiera ,Pioneer Cafetiera ,9213 Parkway E,Birmingham,Crumpton Sprinkler,,,1/5/1983,3,,Now Rimtyme 
Piper Paper,Piper Paper,123 Industrial Dr ,Birmingham,Crumpton Sprinkler,,,8/3/1987,1,,
Posh Interiors - Rental Space C ,Posh Interiors ,,Birmingham,FPS ,,,1/1/2005,1,,
Print essentials ,Print essentials ,,Birmingham,FPS ,,,4/1/2002,1,,
Professional Service Ind Inc ,Professional Service Ind Inc ,Magnolia Financial Center ,Birmingham,Crumpton Sprinkler,,,7/24/1991,1,,
Protective Industrial,Protective Industrial,,Birmingham,Crumpton Sprinkler,,,6/7/1988,4,,
PSC Foam Water System ,PSC Foam Water System ,500 Medco Rd,Birmingham,TFP ,TC1324,,10/31/2007,2,,Now Allworth Inc 
Publix ,Publix ,1059 Montclair Dr ,Birmingham,FPS ,,,10/1/2005,2,,
Quasar,Quasar,2800 2nd Avenue S,Birmingham,Crumpton Sprinkler,,,3/15/1986,1,,Now Ferguson Bath & Kitchen Gallery 
Quasar,Quasar,2800 2nd Avenue S,Birmingham,Crumpton Sprinkler,,,2/15/1986,1,,Now Ferguson Bath & Kitchen Gallery 
Reality Radio Office Space ,Reality Radio,2901 2nd Ave S  ,Birmingham,FPS ,,,3/1/2001,1,,
Red Mountain Home Training ,Red Mountain Home Training ,300 22nd St S,Birmingham,TFP ,TC1607,,7/2/2013,1,,Now Davita Dialysis 
Renovation,Renovation,2209 / 2211 Morris Ave,Birmingham,Crumpton Sprinkler,,,1/22/1995,3,,
Ridgeview Medical Plaza ,Ridgeview Medical Plaza ,5915 Chalkville Mountain Rd ,Birmingham,Enviroments in Life Inc,,,5/23/2008,1,,
River Run Parking Deck ,River Run Parking Deck ,3800 River Run Dr,Birmingham,FPS ,,,3/1/2007,1,,Now Infinity 
River Run Parking Deck ,River Run Parking Deck ,3800 River Run Dr,Birmingham,Walter Shoel Engineering Co ,,,2/20/2007,6,,Now Infinity 
River Village ,River Village ,3817 River Run Dr,Birmingham,Crumpton Sprinkler,,,2/5/1990,4,,Now Infinity 
River Village ,River Village,3817 River Run Run Dr,Birmingham,Crumpton Sprinkler,,,1/7/1992,1,,Now Infinity 
Riverhills Office Park - Harris Lanier ,Riverhills Office Park ,,Birmingham,Crumpton Sprinkler,,,8/2/1986,1,,
Riverhills Shopping Center - Baskin Robins Ice Cream,Riverhills Shopping Center ,,Birmingham,Crumpton Sprinkler,,,7/9/1986,1,,
RMS Service ,RMS Service ,240 Lyon Lane STE ,Birmingham,TFP ,TC1263,,3/19/2007,2,,
Roebuck Shopping Center - One Price Clothing Store,Roebuck Shopping Center ,9118 Pkwy E STE ,Birmingham,Crumpton Sprinkler,,,4/7/1990,1,,Thrift Store
Roebuck Shopping City - East Station Post Office ,Roebuck Shopping City,9118 Pkwy E STE ,Birmingham,Crumpton Sprinkler,,,5/21/1991,3,,No longer there
UAB - Ryals School of Public Health,UAB,1665 University Blvd,Birmingham,Alabama Sprinkler,,,9/14/1999,4,,
UAB - Ryals School of Public Health,UAB ,1665 University Blvd,Birmingham,Alabama Sprinkler,,,11/15/1999,1,,
SBCC Headquarters,SBCC Headquarters,900 Montclair Rd,Birmingham,Crumpton Sprinkler,,,5/13/1980,5,,Now International Code Council 
Serra Honda ,Serra Honda ,2017 Ensley 5 Points W Ave ,Birmingham,TFP ,TC1282,,8/20/2007,3,,
Serra Toyota,Serra Toyota ,1300 Center Point Prkwy ,Birmingham,FPS ,,,5/1/2006,3,,
Sheraton Perimeter Park S,Sheraton Perimeter Park S,8 Perimeter Park Dr,Birmingham,Alabama Sprinkler,,,2/15/2000,1,,Now Hilton 
Sisken Steel,Sisken Steel,4301 Coalburg Rd,Birmingham,Crumpton Sprinkler,,,8/4/1988,1,,
Saloman Smith Barney ,Saloman Smith Barney ,3500 Colonnade Prkwy ,Birmingham,FPS ,,,5/1/2000,1,,
Southbrook Apartments ,Southbrook Apartments ,917 Cherry Ave,Birmingham,TFP ,TC1531,,11/14/2011,4,,
Southern Research Institute ,Southern Research Institute ,2000 9th Avenue S,Birmingham,Crumpton Sprinkler,,,11/2/1990,1,,
Southern Research Institute ,Southern Research Institute ,2000 9th Avenue S,Birmingham,Alabama Sprinkler,,,12/17/2007,1,,
Southern Research Institute ,Southern Research Institute ,2000 9th Ave S,Birmingham,FPS ,,,12/1/2006,8,,
Southside Baptist Church ,Southside Baptist Church ,1016 19th St S,Birmingham,FPS ,,,11/1/2006,2,,
Southtrust Bank,Southtrust Bank,1545 Center Point Pkwy ,Birmingham,Crumpton Sprinkler,,,8/9/1989,1,,Now Express Loans 
Southtrust Operation Center ,Southtrust Operation Center ,6434 1st Avenue N,Birmingham,Crumpton Sprinkler,,,2/6/1988,2,,
Southwest Area Middle School,Southwest Area Middle School,,Birmingham,Crumpton Sprinkler,,,7/13/1984,3,,
UAB - Spain Rehabilitation Center ,UAB ,1717 6th Avenue S ,Birmingham,FPS ,,,9/1/2002,4,,
Sport's First ,Sport's First ,2401 20th Place South ,Birmingham,FPS ,,,10/1/2001,3,,Now YMCA 
Squadron Operations,Squadron Operations,,Birmingham,Crumpton Sprinkler,,,1/4/1995,1,,
St. Andrew's Domiciliary ,St. Andrew's Domiciliary ,1024 12th St S,Birmingham,Crumpton Sprinkler,,,12/11/1989,4,,
St. John Vianney Residence ,St. John Vianney Residence ,2724 Hanover Circle ,Birmingham,TFP ,TC1410,,2/1/2009,1,,
St. Martins in the Pines,St. Martins in the Pines,4941 Montevallo Rd,Irondale ,Crumpton Sprinkler,,,7/31/1996,15,,
St. Martins in the Pines,St. Martins in the Pines,4941 Montevallo Rd,Irondale ,Crumpton Sprinkler,,,11/11/1978,4,,
St. Martin's in the Pines,St. Martin's in the Pines,4941 Montevallo Rd,Irondale ,Crumpton Sprinkler,,,1/18/1984,3,,
St. Vincent's - Medical Library ,St. Vincent's ,2701 9th Court S,Birmingham,FPS ,,,6/1/2001,2,,
St. Vincent's Chapel ,St. Vincent's Chapel ,2701 9th Court S,Birmingham,FPS ,,,10/1/2001,4,,
St. Vincents E - Dr. Martin Dermatology ,St. Vincents E ,2701 9th Court S,Birmingham,Birchfield Penuel & Associates,,,10/6/2000,3,,
St. Vincent's Grill,St. Vincent's Grill,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,3/4/1989,1,,
St. Vincent's Hospital,St. Vincent's Hospital,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,4/21/1988,1,,
St. Vincent's Hospital,St. Vincent's Hospital,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,4/5/1988,1,,
St. Vincent's Hospital,St. Vincent's Hospital,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,7/20/1988,2,,
St. Vincent's Hospital,St. Vincent's Hospital,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,3/3/1997,1,,
St. Vincent's Hospital,St. Vincent's Hospital,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,3/1/1993,1,,
St. Vincents Hospital ,St. Vincents Hospital ,2701 9th Court S,Birmingham,Crumpton Sprinkler,,,1/16/1993,1,,
St. Vincents Hospital ,St. Vincents Hospital ,2701 9th Court S ,Birmingham,Crumpton Sprinkler,,,1/3/1991,1,,
St. Vincents Hospital ,St. Vincents Hospital ,810 St Vincents Dr,Birmingham,FPS ,,,1/16/2007,1,,
St. Vincents Hospital ,St. Vincents Hospital ,810 St Vincents Dr,Birmingham,FPS ,,,2/1/2004,1,,
St. Vincent's Hospital ,St. Vincent's Hospital ,810 St Vincents Dr,Birmingham,Crumpton Sprinkler,,,4/14/1988,1,,
St. Vincent's Hospital Day Care,St. Vincent's Hospital Day Care,2607 Clairmont Avenue ,Birmingham,Crumpton Sprinkler,,,5/2/1989,1,,
St. Vincent's S Tower,St. Vincent's S Tower,810 St Vincent's Dr ,Birmingham,FPS ,,,8/1/2005,21,,
St. Vincents Vestibule ,St. Vincents  ,2701 9th Court S ,Birmingham,FPS ,,,3/1/2002,1,,
Sterilite Corp,Sterilite Corp,1550 Meadowcraft Rd,Birmingham,Crumpton Sprinkler,,,10/7/1991,1,,Now Kinder Morgan 
Sterilite Corp,Sterilite Corp,1550 Meadowcraft Rd,Birmingham,Crumpton Sprinkler,,,8/5/1991,1,,Now Kinder Morgan 
Sterilite Distribution Center ,Sterilite Distribution Center ,1550 Meadowcraft Rd,Birmingham,Crumpton Sprinkler,,,11/13/1991,21,,Now Kinder Morgan 
Stockham Valve Co ,Stockham Valve Co ,4000 10th Avenue N ,Birmingham,Crumpton Sprinkler,,,6/22/1995,2,,
Storehouse Furniture ,Storehouse Furniture ,211 Summit Blvd ,Birmingham,TFP ,TC1004,,3/20/1998,1,,Now Williams-Sonoma 
Summit - Talbots ,Summit,209 S Blvd S 800,Birmingham,Alabama Sprinkler,,,7/25/1997,1,,
Summit Copy Service Inc ,Summit Copy Service Inc ,2015 3rd Ave N ,Birmingham,FPS ,,,10/20/2000,1,,Now Freedom
Summit Copy Service Inc ,Summit Copy Service Inc ,2015 3rd Ave N ,Birmingham,FPS ,,,2/1/2001,1,,Now Freedom
Sumpter Smith ANG Base,Sumpter Smith ANG Base,,Birmingham,Crumpton Sprinkler,,,10/27/1995,1,,
Sunnyland Refining Co,Sunnyland Refining Co,3330 10th Avenue N ,Birmingham,Crumpton Sprinkler,,,4/16/1993,3,,
Sunnyland Refining Co,Sunnyland Refining Co ,3330 10th Avenue N ,Birmingham,Crumpton Sprinkler,,,11/28/1994,5,,
Sunnyland Refining Co,Sunnyland Refining Co ,3330 10th Avenue N ,Birmingham,Crumpton Sprinkler,,,3/15/1996,1,,
Superior Bank ,Superior Bank ,17 20th St N ,Birmingham,FPS ,,,3/1/2007,1,,
Taylor Carrage Bldg ,Taylor Carrage Bldg ,2214 2nd Ave N,Birmingham,FPS ,,,8/27/2004,1,,
TCSI Inc,TCSI Inc ,2 N 20th St Suite 100,Birmingham,FPS ,,,8/31/2005,1,,Now Vineyard Brands
Tech South Inc ,Tech South Inc ,2190 Prkwy Lane Dr ,Birmingham,Crumpton Sprinkler,,,1/16/1987,1,,
"TFL, Inc","TFL, Inc ",7290 Cahaba Valley Rd,Birmingham,TFP ,TC1693,,2/4/2015,2,,
TGI Fridays ,TGI Fridays ,Perimeter Park S ,Birmingham,Crumpton Sprinkler,,,2/9/1983,3,,
The 1900 Bldg ,The 1900 Bldg ,1900 2nd Ave N ,Birmingham,FPS ,,,3/1/2004,2,,
The Arc,The Arc,6001 Crestwood Blvd,Birmingham,TFP ,TC1636,,5/8/2014,6,,
The Bluffs ,The Bluffs,2801 Riverview Rd,Birmingham,TFP ,TC1141,,9/29/2004,3,,
The Country Club of Birmingham ,The Country Club of Birmingham ,3325 Country Club Rd ,Mountain Brook ,Fincher Fire Protection,,,9/1/1996,15,,
The Crafton Group ,The Crafton Group ,107 Frankfurt Circle ,Birmingham,FPS ,,,2/1/2007,1,,Empty BLDG 
The Konfusion Lounge ,The Konfusion Lounge ,708 29th St S ,Birmingham,TFP ,TC1174,,6/15/2005,1,,Now Nana Funks 
The Summit - Fitness Together ,The Summit ,,Birmingham,FPS ,,,3/1/2003,1,,
The Summit - Panera Bread ,The Summit ,143 Summit Blvd Bldg C Suite C6 ,Birmingham,FPS ,,,10/1/2002,2,,
The Summit - Talbots,The Summit,209 S Blvd S 800,Birmingham,Alabama Sprinkler,,,7/25/1997,1,,
The Summit - Tommy Bahama's ,The Summit ,105 Summit Blvd ,Birmingham,FPS ,,,9/1/2001,1,,Empty BLDG 
The Summit - Zoe's Kitchen,The Summit,323 Summit Blvd ,Birmingham,FPS ,,,1/1/2005,1,,
The Summit - Zoe's Kitchen ,The Summit ,323 Summit Blvd ,Birmingham,FPS ,,,4/1/2002,1,,
"The Summit Retail Center VI - Sellers, Richardson, Holman, & West LLP ",The Summit Retail Center VI - Sellers Richardson TI,216 Summit Blvd ,Birmingham,TFP ,TC1418,,6/8/2009,3,,
Thomas Car Storage Facility ,Thomas Car Storage Facility ,2309 5th Ave S ,Birmingham,FPS ,,,4/1/2003,1,,Now Business Interiors 
Thompson Tractor  ,Thompson Tractor  ,2401 Pinson Valley Pkwy ,Birmingham,FPS ,,,7/1/2003,1,,
Tiki Bob's Catina ,Tiki Bob's Catina ,420 21st St S ,Birmingham,FPS ,,,12/1/2001,1,,Closed
Tire Center Inc ,Tire Center Inc ,3200 7th Avenue N ,Birmingham,Crumpton Sprinkler,,,7/9/1992,2,,
Tom Brown Village Daycare ,Tom Brown Village Daycare ,542 42nd Pl N ,Birmingham,FPS ,,,11/5/2002,1,,
Tom Gloor Building ,Tom Gloor Building ,716 Richard Arrington Jr Blvd N ,Birmingham,Crumpton Sprinkler,,,4/11/1990,3,,Closed
Triangle - Birmingham ,Triangle - Birmingham ,13 Spaulding - Ishkooda Rd,Birmingham,Crumpton Sprinkler,,,8/1/1988,5,,
Trinity Hospital ,Trinity Hospital ,800 Montclair Rd ,Birmingham,FPS ,,,6/1/2008,1,,
Trinity Medical Center ,Trinity Medical Center ,800 Montclair Rd ,Birmingham,FPS ,,,2/1/2007,1,,
UAB,UAB,509 20th St S ,Birmingham,FPS ,,,3/18/2005,1,,
UAB,UAB,1822 6th Ave S ,Birmingham,FPS ,,,8/2/2004,1,,
